sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,1.0,41.6855,,0.0,2.57807,22.2481,,,0.0,5766.0,1.08,1.67,-0.15,4.5,179.461,10.849,9.368,10.8644,BD+20 594,1
1.0,1.0,6.7987,0.0349,0.0,1.047,,,,0.0,3648.0,0.282,0.287,-0.048,4.999,,17.6984,12.619,16.4386,EPIC 201170410,1
1.0,1.0,28.1656,,,1.87,,,,0.0,,,0.41,,,159.259,16.014,11.933,15.2612,EPIC 201238110,1
1.0,0.0,50.285869,,,3.47,,,,0.0,4859.0,0.74,,,,829.248,11.668,9.368,11.5044,EPIC 201257461,0
1.0,0.0,2.519386,,,19.6,,,,0.0,,2.03,,,,476.884,12.293,10.89,12.1049,EPIC 201324549,0
1.0,1.0,0.72091,,,1.5,,,,0.0,5633.0,0.94,,-0.053,4.4,706.391,14.321,12.581,14.147,EPIC 201427007,1
1.0,1.0,2.13174,,,0.692,,,,0.0,,,0.78,,,253.026,13.948,11.438,13.7368,EPIC 201497682,1
1.0,0.0,,,,,,,,0.0,4419.0,0.52,,-0.98,,527.641,15.484,12.431,15.0199,EPIC 201555883,0
1.0,0.0,5.7968861,,,24.2,,,,0.0,4721.0,0.72,,,,233.55,12.329,9.883,11.7062,EPIC 201569483,0
1.0,2.0,0.87724,0.0177,0.0,1.565,7.67,2852.0,2038.0,0.0,5679.0,0.98,0.958,0.01,4.435,232.1,11.746,10.218,11.6477,EPIC 201595106,1
1.0,2.0,3.80464,,,1.22,,,,0.0,,,1.073,,,476.882,12.081,10.637,11.9456,K2-166,1
1.0,0.0,27.770388,,,25.1,,,,0.0,4598.0,0.71,,,,252.383,13.595,10.941,13.2049,EPIC 201649426,0
1.0,3.0,2.71578,,,1.03,,,,0.0,,,0.67,,,334.967,14.668,12.087,14.3234,K2-16,1
1.0,1.0,2.0478,0.0296,0.0,0.90819,,,,0.0,4520.0,0.655,0.727,-0.003,4.659,,14.974,12.149,,EPIC 201757695,1
1.0,0.0,27.242808,,,93.0,,,,0.0,,2.54,,,,499.583,11.505,9.802,11.1348,EPIC 201779067,0
1.0,2.0,3.96151,,,1.0,,,,0.0,,,0.611,,,257.443,14.705,11.664,14.2575,K2-50,1
1.0,1.0,4.1698,0.035,,1.04,,,,0.0,5053.0,0.628461,0.802,0.0,4.595,436.488,14.983,12.454,14.5885,EPIC 201841433,1
1.0,0.0,1.19478,,,1.65,,,,0.0,3671.0,0.235,,,5.053,303.404,18.19,13.124,16.6373,EPIC 201928106,0
1.0,0.0,,,,,,,,0.0,4786.0,0.7,,-0.16,,2140.25,13.36,10.798,13.0277,EPIC 201929294,0
1.0,0.0,1.57753,,,26.0,,,,0.0,7747.0,1.93,,,4.08,273.796,8.718,8.422,,EPIC 202059377,0
1.0,0.0,23.7782,,,98.0,,,,0.0,7498.0,2.09,,,4.03,401.292,10.411,9.856,10.4274,EPIC 202071645,0
1.0,0.0,12.866412,,,61.0,,,,0.0,,1.642,,,,760.324,13.12,11.629,12.9556,EPIC 202126887,0
1.0,0.0,1.84617,,,2.14,,,,0.0,3252.0,0.21,,,5.08,1120.21,13.601,12.223,13.4593,EPIC 202126888,0
1.0,0.0,0.6308,,,,,,,0.0,,,,,,,15.469,9.623,,EPIC 202963882,0
1.0,0.0,1.4408,,,,,,,0.0,4154.0,1.58859,,,,157.614,12.892,8.535,12.0723,EPIC 203476597,0
